,homeTeamCode,awayTeamCode,game_id,time,period,team,teamCode,location,xCordAdjusted,xCordAdjusted,shotType,shotOnEmptyNet,shotRush,shotRebound,shotDistance,shotAngleAdjusted,shooterName,goalieNameForShot,event
1347036,MTL,NYR,30112,1716,2,HOME,MTL,AWAYZONE,62,62,WRIST,0,0,0,41.8688428309,49.8440003751,Alex Galchenyuk,Henrik Lundqvist,SHOT
1347037,MTL,NYR,30112,1736,2,HOME,MTL,AWAYZONE,79,79,BACK,0,0,0,12.2065556157,34.9920201986,Brendan Gallagher,Henrik Lundqvist,SHOT
1347038,MTL,NYR,30112,1738,2,HOME,MTL,AWAYZONE,81,81,WRIST,0,0,1,16.1245154966,60.2551187031,Alex Galchenyuk,Henrik Lundqvist,SHOT
1347039,MTL,NYR,30112,1748,2,HOME,MTL,AWAYZONE,39,39,SLAP,0,0,0,50.089919145500005,3.43363036245,Andrei Markov,Henrik Lundqvist,MISS
1347040,MTL,NYR,30112,1798,2,AWAY,NYR,HOMEZONE,69,69,WRIST,0,0,0,23.8537208838,33.0238675558,Rick Nash,Carey Price,GOAL
1347041,MTL,NYR,30112,1832,2,HOME,MTL,AWAYZONE,77,77,WRIST,0,0,0,37.0,71.0753555839,Alexander Radulov,Henrik Lundqvist,SHOT
1347042,MTL,NYR,30112,1833,2,HOME,MTL,AWAYZONE,75,75,WRIST,0,0,1,14.0356688476,4.08561677997,Max Pacioretty,Henrik Lundqvist,SHOT
1347043,MTL,NYR,30112,1835,2,HOME,MTL,AWAYZONE,78,78,WRIST,0,0,1,11.0,0.0,Max Pacioretty,Henrik Lundqvist,SHOT
1347044,MTL,NYR,30112,1873,2,AWAY,NYR,HOMEZONE,85,85,WRIST,0,0,0,36.2215405525,83.6598082541,Derek Stepan,Carey Price,SHOT
1347045,MTL,NYR,30112,1889,2,HOME,MTL,AWAYZONE,52,52,BACK,0,0,0,51.6236379966,44.215175397,Tomas Plekanec,Henrik Lundqvist,SHOT
1347046,MTL,NYR,30112,1914,2,AWAY,NYR,AWAYZONE,40,40,WRIST,0,0,0,60.8029604542,36.3044971226,Kevin Hayes,Carey Price,SHOT
1347047,MTL,NYR,30112,2015,2,HOME,MTL,AWAYZONE,81,81,TIP,0,0,0,8.0,0.0,Brendan Gallagher,Henrik Lundqvist,SHOT
1347048,MTL,NYR,30112,2030,2,HOME,MTL,AWAYZONE,65,65,WRIST,0,0,0,31.890437438200003,41.1859251657,Steve Ott,Henrik Lundqvist,SHOT
1347049,MTL,NYR,30112,2087,2,AWAY,NYR,HOMEZONE,84,84,TIP,0,0,0,6.40312423743,38.6598082541,Mats Zuccarello,Carey Price,GOAL
1347050,MTL,NYR,30112,2105,2,AWAY,NYR,HOMEZONE,69,69,WRIST,0,0,0,29.0,46.39718102729999,Derek Stepan,Carey Price,SHOT
1347051,MTL,NYR,30112,2196,2,AWAY,NYR,HOMEZONE,76,76,WRIST,0,0,0,19.1049731745,47.1210963967,Rick Nash,Carey Price,SHOT
1347052,MTL,NYR,30112,2280,2,HOME,MTL,AWAYZONE,46,46,SLAP,0,0,0,47.853944456,26.0295921915,Alex Galchenyuk,Henrik Lundqvist,SHOT
1347053,MTL,NYR,30112,2323,2,AWAY,NYR,HOMEZONE,45,45,WRIST,0,0,0,51.6236379966,31.5347919052,Michael Grabner,Carey Price,SHOT
1347054,MTL,NYR,30112,2342,2,AWAY,NYR,HOMEZONE,74,74,TIP,0,0,0,20.5182845287,43.0250659891,Chris Kreider,Carey Price,MISS
